Matrikel;KlausurNr;Punkte
2645991;16ws_dbs2_wh;3.5,0,1.5,0,2.5,2,6,4
2697847;16ws_dbs2_wh;0,4,2.5,1,5,5.5,5.5,2
3026064;16ws_dbs2_wh;5.5,1.5,0.5,0,3.5,0,2.5,0
3037929;16ws_dbs2_wh;2,0,3.5,1,4,5.5,4,3
3069997;16ws_dbs2_wh;5,2,1,1,0.5,1,0,0
3228470;16ws_dbs2_wh;6.5,5,3,5.5,4,3,5,3.5
3267278;16ws_dbs2_wh;3.5,2.5,4,4.5,1.5,1,0,4
3322726;16ws_dbs2_wh;7,3.5,1,4,3.5,4.5,3,5
3400556;16ws_dbs2_wh;4.5,5.5,0.5,6,1.5,7,1.5,1
3476297;16ws_dbs2_wh;7,1.5,4,0,1.5,2.5,3.5,1
3514121;16ws_dbs2_wh;7,5.5,2.5,0,5,6,8.5,6
3590920;16ws_dbs2_wh;0.5,4,1,0,0.5,5.5,2,3
3856535;16ws_dbs2_wh;6.5,4,2,3.5,3.5,4.5,4,1.5
