Matrikel;KlausurNr;Punkte
2376791;18ss_dwh;4.5,5.5,5.5,6,4,5.5,5
2378843;18ss_dwh;3.5,7.5,3.5,5.5,5.5,3,3.5
2385615;18ss_dwh;5,4,1,3,4,3.5,4
2388677;18ss_dwh;4.5,1.5,1.5,3.5,0,0,2.5
2410997;18ss_dwh;3.5,6,7,7,6,6,2
2415195;18ss_dwh;1.5,4.5,1.5,2.5,6.5,5.5,1
2416892;18ss_dwh;4,4.5,1.5,5.5,4.5,1.5,1
2420966;18ss_dwh;2,6,4.5,5,6.5,3,5
2537476;18ss_dwh;3.5,3.5,3.5,4,5.5,3.5,3.5
2561022;18ss_dwh;5.5,4,8,4.5,6,5.5,4
2604659;18ss_dwh;2.5,4,1.5,3,4.5,1.5,1
2628926;18ss_dwh;4,5.5,5,5,6.5,4,3.5
2723339;18ss_dwh;2.5,6,1.5,6,7,6,5.5
2820783;18ss_dwh;4.5,4,4.5,5,6.5,0,3
2854838;18ss_dwh;3.5,4,3,5,7.5,8,5.5
2882327;18ss_dwh;7,6.5,4.5,2,5.5,2.5,3
2895523;18ss_dwh;4.5,3,2,4.5,6.5,7,2.5
2955328;18ss_dwh;2,5.5,3.5,1,5,5,5.5
2969842;18ss_dwh;3.5,4.5,8.5,5.5,8,2.5,3.5
3055690;18ss_dwh;6,2,1.5,5,1.5,0,0.5
3137802;18ss_dwh;3.5,7,5.5,5,5.5,5.5,3
3173160;18ss_dwh;5,5,5,2.5,6,7.5,6
3187066;18ss_dwh;5,4.5,2,5,7.5,5,5.5
3195563;18ss_dwh;2,5,3,3.5,7.5,5.5,5
3226567;18ss_dwh;2.5,4.5,2.5,5,5,3,3
3314611;18ss_dwh;7.5,7,7.5,6,6.5,4.5,5
3346715;18ss_dwh;5.5,3.5,1.5,5.5,5.5,5.5,2.5
3356420;18ss_dwh;5,4.5,6.5,4.5,5,6,3.5
3463754;18ss_dwh;5,5,6,4.5,7,8,1.5
3524253;18ss_dwh;2.5,3,3.5,2,4.5,4,2
3585883;18ss_dwh;6.5,5.5,5.5,4,2.5,6,1.5
3657067;18ss_dwh;2.5,3,5.5,4.5,5.5,8,4.5
3807055;18ss_dwh;1,1,0,0,0.5,0,0
3878392;18ss_dwh;3,2.5,0,4.5,7.5,4.5,1
3922865;18ss_dwh;3.5,0.5,1,0.5,2,0,1
3936117;18ss_dwh;4,7,5.5,3.5,6,3.5,2.5
