Matrikel;KlausurNr;Punkte
2365084;15ss_idbs2;2.5,5,3.5,6,4,5.5,2.5,2.5
2466075;15ss_idbs2;3.5,2,3,0.5,6,5,2,5
2627313;15ss_idbs2;4,4,7,5.5,3,6,2,6
2730205;15ss_idbs2;6.5,5.5,5.5,2,1,1.5,2,8
2773103;15ss_idbs2;4,3,4,6.5,4.5,3,2.5,3.5
2776856;15ss_idbs2;3.5,4.5,4,5,4.5,3,1.5,4.5
2795965;15ss_idbs2;0,0,1,1,0,0.5,0,1
2881419;15ss_idbs2;5,5,6,2,3,4,2,3
2938009;15ss_idbs2;3.5,1,1.5,2,0,1,0,2.5
3011223;15ss_idbs2;3,3,5,4.5,2.5,1.5,1.5,6
3058961;15ss_idbs2;4.5,2.5,7,5.5,5.5,7,2,6
3073635;15ss_idbs2;5,2,3,3,6.5,2.5,3.5,3
3085808;15ss_idbs2;4.5,3,4.5,5.5,4,2.5,2,8
3151635;15ss_idbs2;2,2,3.5,5.5,2,2.5,1,4
3157792;15ss_idbs2;5,5,5,0.5,4,3,2,3.5
3221360;15ss_idbs2;3.5,3.5,4,6,3.5,4,3,2.5
3251958;15ss_idbs2;3.5,3,3,5,5,4,3.5,6
3267278;15ss_idbs2;1.5,0,3,1,0,0.5,1,3.5
3316800;15ss_idbs2;3.5,3.5,2,5.5,4.5,2,3.5,4.5
3412240;15ss_idbs2;4.5,4,3,4,4,1,2.5,4.5
3428860;15ss_idbs2;3.5,3,1.5,4,0,1,0,8
3463005;15ss_idbs2;3,2.5,1.5,4.5,4.5,1,0.5,4
3514431;15ss_idbs2;1.5,2,1.5,0.5,3,0,0,2.5
3599101;15ss_idbs2;3,3.5,0.5,4,1.5,4,2,4
3614173;15ss_idbs2;3,5.5,5.5,3.5,5,2.5,2,4
3769593;15ss_idbs2;3,2.5,3.5,3.5,2.5,3,2,3.5
3782358;15ss_idbs2;5,5.5,5.5,4,5,3,3.5,4
3826987;15ss_idbs2;4.5,3,3,1,1.5,4,2.5,3
3891733;15ss_idbs2;5,3.5,5,5,5,6.5,3,6
