Matrikel;KlausurNr;Punkte
2351668;17ws_dbs1;0.5,0.5,0.5,1,0,0,1
2359179;17ws_dbs1;1,1.5,4.5,2,1.5,0,2
2361890;17ws_dbs1;4,1.5,4,0.5,3.5,3,2
2368411;17ws_dbs1;4,7,6.5,1.5,3.5,6.5,5
2372802;17ws_dbs1;0.5,3.5,5.5,4,6,3,2
2376791;17ws_dbs1;6,5.5,7,5.5,7.5,7,5.5
2378843;17ws_dbs1;2,2.5,6.5,2.5,1.5,7,4
2386845;17ws_dbs1;3.5,2,6,2.5,3.5,3.5,0
2388677;17ws_dbs1;6,3,6,1,0,2,0
2388695;17ws_dbs1;3,6.5,7,3.5,5,8,1
2392807;17ws_dbs1;3,4.5,7,4,1.5,1.5,4.5
2395873;17ws_dbs1;4.5,4.5,6.5,3,3.5,6,3.5
2415195;17ws_dbs1;4,4.5,3,3,1,0,2
2416892;17ws_dbs1;1,5.5,1.5,4,3,2,1
2424056;17ws_dbs1;5,4,4,4.5,5,2,5
2432350;17ws_dbs1;4,3.5,6.5,4.5,1.5,4.5,1
2437173;17ws_dbs1;0.5,3.5,7.5,2.5,6,6,1.5
2437850;17ws_dbs1;7,4.5,7.5,4.5,8.5,8.5,2.5
2440086;17ws_dbs1;5,6.5,4,5.5,4,9.5,6.5
2447709;17ws_dbs1;5.5,4.5,6,3.5,7,7.5,4
2453337;17ws_dbs1;5,1.5,7,2.5,4.5,5,5
2466539;17ws_dbs1;4,3.5,7.5,3.5,0.5,5,3.5
2469579;17ws_dbs1;2,4,8,2.5,4,2.5,0.5
2477102;17ws_dbs1;5,5.5,5.5,4,6,6.5,4
2478222;17ws_dbs1;6,4,3.5,5,5,3,2.5
2486230;17ws_dbs1;2,2,6,3,3.5,6,1.5
2514733;17ws_dbs1;0,3.5,3.5,1,0.5,4,0
2518567;17ws_dbs1;5.5,6.5,7,3,2.5,6.5,3
2534781;17ws_dbs1;0.5,0.5,0,0,0,2,0.5
2551907;17ws_dbs1;3.5,2.5,5,0.5,4.5,4.5,2.5
2552169;17ws_dbs1;0,0,3.5,1.5,8,1,4.5
2560966;17ws_dbs1;5,2,3.5,2,3,2,0.5
2571323;17ws_dbs1;5,6.5,3.5,3.5,2,1.5,5.5
2572911;17ws_dbs1;5,3,7,3.5,5.5,5.5,3.5
2623934;17ws_dbs1;5.5,3,5.5,1.5,2.5,2.5,3
2626805;17ws_dbs1;4,4,7.5,1.5,5,6,5
2646826;17ws_dbs1;4.5,3.5,5.5,2.5,3.5,4.5,3
2668698;17ws_dbs1;3.5,3.5,4,4,2.5,6.5,3.5
2688792;17ws_dbs1;3.5,5.5,6.5,3,8.5,4.5,5.5
2698522;17ws_dbs1;2.5,3.5,7,4,1,2.5,2
2704961;17ws_dbs1;5,4,2,3.5,2.5,5,0.5
2735321;17ws_dbs1;4,5.5,4,3,8,4,4
2751210;17ws_dbs1;5,3.5,5,0,3.5,7,4.5
2753240;17ws_dbs1;5.5,4.5,6,1,6,5,3
2762308;17ws_dbs1;5,4,6.5,5.5,5.5,4,5
2766131;17ws_dbs1;6,5,6,3.5,5,6.5,0.5
2783402;17ws_dbs1;3.5,3.5,4,3.5,4,3.5,3.5
2804623;17ws_dbs1;4,4.5,6.5,3.5,6,8,4.5
2811434;17ws_dbs1;5.5,5,6,4.5,9,9,5.5
2816493;17ws_dbs1;0,3.5,4.5,4.5,5.5,7,0.5
