Matrikel;KlausurNr;Punkte
2370095;15ss_dbs2;4,7,4.5,1,2,1.5,4,4,3
2445967;15ss_dbs2;4,6,6,2,2,0,6,4.5,1.5
2468476;15ss_dbs2;0.5,0,2.5,0,0,2,3.5,3,0
2470865;15ss_dbs2;3,3.5,3,3,2,2,0,1,2
2473641;15ss_dbs2;1.5,3,4.5,3,1.5,2.5,6,1.5,0
2483661;15ss_dbs2;3,3.5,2.5,0,1.5,0.5,3,4,2
2520777;15ss_dbs2;1.5,2.5,4,0.5,2.5,1,4.5,1,0
2529796;15ss_dbs2;6.5,7,3.5,1.5,2.5,2.5,4.5,6.5,2.5
2540926;15ss_dbs2;3,5.5,3,2,4,1.5,3.5,6.5,0
2605501;15ss_dbs2;6.5,4.5,2.5,0,1.5,2,4.5,2,0
2626382;15ss_dbs2;1.5,5,4.5,2,3,2.5,0.5,0,1.5
2646900;15ss_dbs2;1,4,1.5,0,2.5,1,0.5,0,0
2669952;15ss_dbs2;4.5,6,2.5,2.5,0,3.5,5,7,3.5
2694885;15ss_dbs2;4,3,3,1,2,2,5,0,1.5
2698449;15ss_dbs2;4,6.5,3,3,0.5,3,6.5,2,2.5
2745317;15ss_dbs2;6.5,5,1.5,3,0,3.5,5,5,3
2773103;15ss_dbs2;5,5.5,1.5,1,2.5,3,4,2.5,2.5
2775712;15ss_dbs2;1,2.5,3.5,0,3.5,2.5,4,1,3
2816879;15ss_dbs2;3,0,3,1,1.5,3,0,2,1
2850951;15ss_dbs2;2,4.5,3,1.5,3,1.5,4.5,0.5,1.5
2854838;15ss_dbs2;5,5,4.5,3,3,4,0.5,4,2.5
2858618;15ss_dbs2;2.5,4,0,0,0,1,1,1.5,3
2877130;15ss_dbs2;5,5.5,5.5,2,0,4,3.5,2.5,0
2894545;15ss_dbs2;3,4.5,1,3,2,4,3.5,6.5,3.5
2896274;15ss_dbs2;2.5,2.5,2.5,0.5,0,2.5,4.5,1,3
2908990;15ss_dbs2;5,6.5,4.5,0,3,4.5,5,1,1.5
2924879;15ss_dbs2;3,5,4,2.5,3.5,1,6,4,3.5
2926916;15ss_dbs2;5.5,5,1.5,2.5,1,5,7,7,0
2932274;15ss_dbs2;1,5.5,2.5,0.5,0.5,2,7,0,3.5
2939428;15ss_dbs2;1,2.5,3.5,0,0,0,4.5,1,1
2959576;15ss_dbs2;4,6,4.5,4.5,2.5,2,5,6,3.5
3006293;15ss_dbs2;4,4,4,0.5,1,3.5,4.5,4,1
3053850;15ss_dbs2;4.5,2.5,2,0,0.5,1.5,4.5,0.5,2
3083525;15ss_dbs2;5,6,3.5,2,2.5,2.5,5.5,2,0
3096466;15ss_dbs2;3,2.5,3,0,0,0.5,2.5,5.5,0.5
3108259;15ss_dbs2;3.5,3.5,2,0,0,3,7,4,3
3136010;15ss_dbs2;4,2,1,0,0.5,1,6,1,4.5
3148414;15ss_dbs2;3.5,2.5,4,0,4,3.5,3,0,3
3151635;15ss_dbs2;3.5,5,3.5,4.5,2.5,2.5,5.5,3,2.5
3161798;15ss_dbs2;0,2.5,2,0,1.5,2,5,3,2.5
3183854;15ss_dbs2;4,6,3.5,3.5,2,3.5,7,7,2.5
3238538;15ss_dbs2;0,1,2,0,2,2,0,1,0.5
3300253;15ss_dbs2;6,5.5,5.5,0.5,2.5,1,5.5,4,0.5
3307553;15ss_dbs2;5,6.5,3.5,4,3.5,3.5,5.5,6.5,2.5
3335871;15ss_dbs2;3.5,3.5,1.5,1.5,3,2,5.5,3.5,1.5
3346715;15ss_dbs2;0,0,0,0.5,1,3,0.5,0.5,0
3350783;15ss_dbs2;4.5,6.5,4.5,3.5,2,0.5,5.5,3.5,1
3356420;15ss_dbs2;4,7,5.5,1.5,4,4.5,5,3,1.5
3371246;15ss_dbs2;6,5.5,3.5,0,1.5,2.5,0,2.5,0
3392138;15ss_dbs2;6,4,2,0,2.5,0.5,5.5,1,1.5
3443794;15ss_dbs2;3.5,1.5,0,0,1,0,4.5,0,0
3448296;15ss_dbs2;6.5,6.5,4.5,2.5,3.5,0,6,8,2
3454077;15ss_dbs2;3.5,6,2,3,2,3.5,1,1,2.5
3460607;15ss_dbs2;0,3,1.5,0,1,1.5,3.5,1,3
3461026;15ss_dbs2;0,2,0,0.5,2.5,3,0.5,0,1
3482006;15ss_dbs2;3,1.5,1.5,1,1.5,1,4.5,4,0.5
3488333;15ss_dbs2;3.5,5.5,3.5,1.5,1,4,5,1.5,3
3494275;15ss_dbs2;1.5,5.5,2.5,4,2.5,3,7,5,0
3516623;15ss_dbs2;1.5,3.5,2,2,1,1.5,0,3.5,3.5
3518549;15ss_dbs2;5.5,5.5,3.5,4,1.5,4,5.5,3.5,1
3615316;15ss_dbs2;4,3,4.5,2.5,4,4,5.5,3,1.5
3637553;15ss_dbs2;4,3,3,0,0,1,4,2,2.5
3642072;15ss_dbs2;1.5,3.5,3.5,2.5,2.5,3.5,4,4.5,1.5
3675317;15ss_dbs2;1,1.5,3,0,0.5,0.5,3.5,2,1
3698570;15ss_dbs2;5.5,3,0.5,2,2.5,2.5,1,0,2
3728064;15ss_dbs2;4.5,2.5,3,1.5,1,1,4.5,1.5,2
3742059;15ss_dbs2;4.5,7,4.5,4,1,2,4,4.5,4
3804930;15ss_dbs2;1.5,4.5,3,0,0.5,0.5,6,1,2.5
3833301;15ss_dbs2;0.5,4.5,3,3.5,0,2,6,4.5,0
3866917;15ss_dbs2;2,4.5,1.5,2.5,4,5,0.5,1,0.5
3867811;15ss_dbs2;4,4,5.5,1.5,2.5,2.5,5.5,4.5,2.5
3899411;15ss_dbs2;3.5,4,2.5,0.5,1,4,2.5,3,4.5
3916123;15ss_dbs2;5,5,1,1,0,0,5.5,4,2
3918729;15ss_dbs2;4,1,3,0,0,1,1.5,1,1
