Matrikel;KlausurNr;Punkte
2361890;18ws_dbs2_wh;6.5,7,2,2,2,1.5,1.5,1
2367332;18ws_dbs2_wh;5,5.5,4,4,3,3,6,4
2427498;18ws_dbs2_wh;4,3,2.5,0,4,1.5,7.5,1
2440086;18ws_dbs2_wh;6,5,4.5,6,4,3.5,6.5,2.5
2443512;18ws_dbs2_wh;5.5,5,4.5,3,3,2,3,4.5
2457485;18ws_dbs2_wh;7.5,2.5,2,1.5,2.5,0,5,1.5
2882340;18ws_dbs2_wh;7,3.5,3,0,0.5,0,2,4
2918632;18ws_dbs2_wh;7,5.5,2,0,2,0,3,3
2956490;18ws_dbs2_wh;7,6.5,3.5,4.5,2,4,7,3.5
2994475;18ws_dbs2_wh;3.5,3,4,0.5,2,0,2.5,1.5
3014873;18ws_dbs2_wh;7.5,5.5,2,2.5,2,1.5,1.5,1.5
3247027;18ws_dbs2_wh;6.5,5.5,2.5,1.5,3,3,5.5,2.5
3555811;18ws_dbs2_wh;3.5,6,2,4,1,0,0,2.5
3678362;18ws_dbs2_wh;2,1.5,1,0,2,3,4,1
3774109;18ws_dbs2_wh;7,4.5,3,0.5,4.5,3.5,5.5,0.5
3802617;18ws_dbs2_wh;5.5,6.5,3.5,3.5,4,2,2,4.5
3908938;18ws_dbs2_wh;5.5,4,0.5,3,1,0.5,1.5,3
