Matrikel;KlausurNr;Punkte
2346336;15ss_cdm;6,3,7,6,0.5,0,0
2473641;15ss_cdm;6,2,5.5,4,2,2,0
2773103;15ss_cdm;7.5,5.5,4,5.5,7,4,3
2776856;15ss_cdm;9,2,6.5,5,4,1,6
2795965;15ss_cdm;8.5,5,2.5,5.5,6,4.5,4
2881419;15ss_cdm;4.5,3,5,7,6.5,4,4
2938009;15ss_cdm;5.5,4.5,4,4.5,1,0.5,2
3011223;15ss_cdm;3.5,4.5,4,2,2.5,7.5,2
3058961;15ss_cdm;9,5,6.5,5,10,6.5,5
3085808;15ss_cdm;6,4.5,5.5,6,7,7,2
3130637;15ss_cdm;8.5,5.5,7.5,4.5,8,3,5
3151635;15ss_cdm;5.5,4.5,3,6.5,6.5,5,4.5
3221360;15ss_cdm;7.5,5,4,7,4,3,5
3224911;15ss_cdm;5.5,4,6.5,6.5,9.5,5.5,4.5
3235012;15ss_cdm;7,4,6,7,7.5,7,3
3251958;15ss_cdm;7,4,6,6,5.5,5,3
3267278;15ss_cdm;7.5,1,3.5,5,0,0,1
3412240;15ss_cdm;8,5.5,7.5,4.5,8,6.5,4
3514431;15ss_cdm;3.5,2,7,3.5,2,1,1.5
3599101;15ss_cdm;7,2,4.5,6.5,6.5,5.5,5
3680113;15ss_cdm;6,5,4.5,3.5,3.5,0,0
3781410;15ss_cdm;6,3,4.5,3,7,5,3.5
3782358;15ss_cdm;7,5,5.5,6,8,6.5,4
3805566;15ss_cdm;8.5,1.5,6,6,8,6,4
