Matrikel;KlausurNr;Punkte
2382559;16ss_mrdbs_wh;2,3.5,2,3.5,3.5,1,6.5,3
2449868;16ss_mrdbs_wh;2.5,5,5,4,3,5.5,6,5.5
2462493;16ss_mrdbs_wh;0.5,0.5,1.5,5.5,4,4,4,2
2669952;16ss_mrdbs_wh;6,5,5,4,4,4,6,0
2813425;16ss_mrdbs_wh;1,4.5,1.5,3.5,1.5,3,3.5,2
3151649;16ss_mrdbs_wh;0.5,1.5,1.5,0,0,1,0,0
3236513;16ss_mrdbs_wh;0.5,2.5,1,4,3,4.5,3.5,2
3300253;16ss_mrdbs_wh;3.5,5,3,3,0.5,3,5,0
3307553;16ss_mrdbs_wh;2.5,5.5,6,5,3.5,5,5,3
3412240;16ss_mrdbs_wh;5.5,0.5,4,3.5,6,4.5,7,3
3615316;16ss_mrdbs_wh;0,3.5,4,1,0.5,0,0,0
3918729;16ss_mrdbs_wh;3,3,1,0.5,1,0.5,1.5,3.5
