Matrikel;KlausurNr;Punkte
2346317;16ws_dbs1;4.5,2.5,6,3,8,0.5,0
2378305;16ws_dbs1;5.5,3,6.5,1.5,6.5,6,1.5
2378521;16ws_dbs1;5,2.5,3.5,0,3.5,1.5,5
2383120;16ws_dbs1;5,0,6.5,0,9,5.5,0
2390585;16ws_dbs1;4.5,5,5.5,1.5,4.5,1,2.5
2393113;16ws_dbs1;6,1,1,0,0,0,1.5
2394070;16ws_dbs1;1,2.5,6,3.5,3,3,3
2394843;16ws_dbs1;3.5,2.5,4,1.5,7.5,0.5,0
2403788;16ws_dbs1;7.5,3,6,0.5,2,4,1
2406751;16ws_dbs1;7,4.5,7.5,4.5,11,5.5,3
2408380;16ws_dbs1;4,1,1,1.5,3,3.5,0
2419134;16ws_dbs1;6.5,4,8,4,7.5,9,2
2420966;16ws_dbs1;4,3,7.5,4.5,10,1,3
2426534;16ws_dbs1;1,1,1,0.5,0.5,1,0
2428059;16ws_dbs1;3.5,4.5,7,4,5.5,4,3.5
2430407;16ws_dbs1;1.5,1.5,8,1.5,0,2.5,3.5
2452537;16ws_dbs1;4,3.5,1.5,1.5,2,1.5,1.5
2453644;16ws_dbs1;5.5,4.5,6.5,4.5,6.5,4.5,2
2465834;16ws_dbs1;7.5,4,7,5.5,8,7,4
2489800;16ws_dbs1;3.5,3,7,3.5,6,7.5,4
2496133;16ws_dbs1;2.5,3,0.5,0,1,1.5,4.5
2507880;16ws_dbs1;8,3,7,5.5,8.5,8,4.5
2542549;16ws_dbs1;4.5,3,6,3,3,5.5,6
2544297;16ws_dbs1;8,2.5,7,3,5.5,3,6
2549111;16ws_dbs1;4,2.5,7.5,4,7.5,3.5,1
2558967;16ws_dbs1;6,4,6,3,8.5,2,5
2568269;16ws_dbs1;1,3,3.5,0,2.5,4,5
2570223;16ws_dbs1;4.5,4,3,1.5,5.5,2,4
2572267;16ws_dbs1;3.5,2,5,2.5,4.5,1,3.5
2572295;16ws_dbs1;4,1,2,1,2,2,2
2595205;16ws_dbs1;5.5,4,6,1,7,4.5,4.5
2600380;16ws_dbs1;3.5,3.5,7,3,7.5,6.5,2
2604150;16ws_dbs1;0.5,4,8,4,4.5,7.5,0.5
2606022;16ws_dbs1;6,3,8,4,9,6.5,5
2619123;16ws_dbs1;6.5,2,7,5,5,3.5,5
2622759;16ws_dbs1;7,2.5,6.5,2.5,4.5,5,4
2636152;16ws_dbs1;7,4,6.5,5.5,7,5.5,6
2655195;16ws_dbs1;4,2,7.5,0.5,2,7.5,4
2668698;16ws_dbs1;4,2,6,2.5,2,1.5,2.5
2683788;16ws_dbs1;1.5,3,2.5,1,1,4.5,0
2698462;16ws_dbs1;5.5,3,7,3,7.5,6.5,2.5
2713241;16ws_dbs1;5.5,2.5,6,2.5,3.5,2,3
2753024;16ws_dbs1;3,1.5,4,2.5,2.5,1.5,3.5
2753240;16ws_dbs1;1,1.5,4,1,2.5,2,0
2766950;16ws_dbs1;6.5,4,2,4,4,5.5,3.5
2783402;16ws_dbs1;2.5,2,0,1.5,0.5,3,2
2796538;16ws_dbs1;5,3,7.5,3.5,7.5,7,6
2801291;16ws_dbs1;1,1.5,4.5,2,4.5,4.5,1
2822033;16ws_dbs1;6,3,5,4,7,5,3
2824223;16ws_dbs1;5.5,2,6.5,3,11.5,7.5,5
2832324;16ws_dbs1;1.5,2,5,1.5,9.5,7.5,3.5
2832610;16ws_dbs1;2.5,0.5,8,2,0.5,1.5,3.5
2867038;16ws_dbs1;1.5,2.5,6.5,3,6.5,1.5,2.5
2882340;16ws_dbs1;5.5,2,7.5,2.5,1.5,1.5,0.5
2886393;16ws_dbs1;5.5,3.5,7,2.5,4.5,6,4
2890948;16ws_dbs1;2,1.5,6,2,2.5,2.5,1.5
2933261;16ws_dbs1;1,1,3,0,2,1,1
2943676;16ws_dbs1;5,1,6.5,1.5,6.5,4.5,3
2945677;16ws_dbs1;3,2,4.5,0.5,1,1,2
2951157;16ws_dbs1;4.5,2.5,5.5,3.5,6,1,2.5
2969842;16ws_dbs1;5,5,8,5,4,7,5.5
2972377;16ws_dbs1;5,3.5,6.5,2.5,10.5,6,3.5
2977409;16ws_dbs1;0.5,0.5,0,0,1.5,2,0.5
2978757;16ws_dbs1;6,3.5,8,2.5,2,5,2.5
2980854;16ws_dbs1;0.5,3.5,5.5,3.5,4.5,6.5,6
2982600;16ws_dbs1;3,3,4.5,0.5,1.5,3.5,4
2993779;16ws_dbs1;6,1.5,4,3,4,4.5,4.5
2994137;16ws_dbs1;5.5,3,7,5.5,10,7.5,6
2994539;16ws_dbs1;0.5,3.5,5,2.5,4,3,3.5
3026064;16ws_dbs1;3,2.5,5,2,2.5,4,4.5
3027376;16ws_dbs1;6,4,5,4.5,4.5,1.5,3
3031121;16ws_dbs1;4.5,4.5,6,2,8,5,3.5
3039995;16ws_dbs1;4,4,5.5,3.5,7.5,1,3
3043109;16ws_dbs1;5.5,2.5,6.5,2.5,7,6,4
3073199;16ws_dbs1;7,4.5,6,5.5,12,7.5,4.5
3075555;16ws_dbs1;4,2.5,5.5,1,8.5,3,2
3095218;16ws_dbs1;3.5,1,4,2.5,4.5,4.5,1.5
3099551;16ws_dbs1;6.5,2.5,5.5,3.5,9.5,9,4.5
3110490;16ws_dbs1;3.5,1.5,7,2,2,6.5,2
3155009;16ws_dbs1;3,3,6,2.5,8,5.5,5
3155140;16ws_dbs1;4.5,2,6,2,6,2.5,3
3160112;16ws_dbs1;1.5,1,0,2,2,0.5,1
3161504;16ws_dbs1;6.5,2.5,3.5,3.5,4.5,1.5,0.5
3162066;16ws_dbs1;6,4.5,5,3,2,3,3.5
3173030;16ws_dbs1;0,3,1,0,0,1.5,1.5
3183654;16ws_dbs1;1,1.5,7,4,5.5,4,1
3195563;16ws_dbs1;5.5,3.5,6.5,5.5,5.5,6.5,4
3199661;16ws_dbs1;3.5,3,8,3.5,2,3.5,0.5
3204181;16ws_dbs1;3.5,2.5,4.5,2,9.5,3.5,2
3227895;16ws_dbs1;3,3,6.5,2,4.5,7.5,4
3232792;16ws_dbs1;3.5,4.5,7,3,5.5,3.5,3.5
3288932;16ws_dbs1;4.5,1.5,4.5,3.5,3.5,3,2.5
3292800;16ws_dbs1;5.5,3.5,6.5,2,11,8.5,3.5
3304115;16ws_dbs1;1,2.5,6,2.5,6.5,6,1
3315708;16ws_dbs1;6.5,3.5,8,2,8,5,3
3315806;16ws_dbs1;2.5,0,6.5,2.5,4.5,1.5,2.5
3325882;16ws_dbs1;0,0,5,0.5,2,1,3.5
3348443;16ws_dbs1;2.5,3,7,0,2.5,2,0
3352244;16ws_dbs1;3.5,2,6.5,0,1.5,5,1.5
3363309;16ws_dbs1;6.5,4,6,3.5,5.5,5,3.5
3383317;16ws_dbs1;3.5,1.5,7,3.5,7.5,8,3
3385247;16ws_dbs1;5,3,4.5,3,4,6.5,6
3386891;16ws_dbs1;1,1.5,6,2,4,3,2.5
3419107;16ws_dbs1;2,0.5,3.5,1.5,1.5,1,2
3423919;16ws_dbs1;3.5,2.5,7,3,9.5,5.5,4
3424178;16ws_dbs1;2,3,6,0,0,4.5,0
3437045;16ws_dbs1;2.5,2,1,0.5,0,0,0
3450112;16ws_dbs1;4,1.5,4,0.5,2.5,0,5.5
3458531;16ws_dbs1;4.5,1.5,4.5,1.5,1,1,0
3478046;16ws_dbs1;4.5,1,2.5,2.5,1.5,0,0
3479178;16ws_dbs1;7.5,2,5.5,3,8,4,4
3488794;16ws_dbs1;4,4.5,6.5,3.5,4,1.5,2
3492190;16ws_dbs1;7.5,1.5,4.5,2.5,6,1,0
3494474;16ws_dbs1;0,0.5,6,2.5,3.5,6,2
3498680;16ws_dbs1;4,2,3.5,1.5,4,1,2
3507233;16ws_dbs1;1.5,1.5,6,2,9,5.5,3.5
3531107;16ws_dbs1;1,2.5,8,2.5,1,0.5,1.5
3531365;16ws_dbs1;4,3,4.5,3.5,4,0,0.5
3533392;16ws_dbs1;1,0.5,0.5,0,1,0,1
3549467;16ws_dbs1;6.5,3.5,5.5,3.5,8,4.5,5
3563269;16ws_dbs1;1.5,1.5,3,1,4.5,3,2
3575689;16ws_dbs1;4.5,3,7,3,2,3.5,0
3592683;16ws_dbs1;7,3,6,2.5,1.5,5.5,2
3597191;16ws_dbs1;4,3.5,6,1.5,7,3,1
3603729;16ws_dbs1;0,2,7.5,0,7.5,3.5,2.5
3604547;16ws_dbs1;5,1.5,5.5,2,7.5,5.5,4
