Matrikel;KlausurNr;Punkte
2361890;18ss_dbs2;1.5,3,3.5,1,0.5,2,3,3,2.5
2368411;18ss_dbs2;4,3.5,4.5,2.5,3.5,2,3.5,1.5,1.5
2376791;18ss_dbs2;2,4,3.5,5,2,3,4.5,6,3.5
2378843;18ss_dbs2;1,0,4.5,1,3,5,3,5.5,2.5
2392807;18ss_dbs2;1.5,2.5,0,0,0.5,0,3,0,4
2395873;18ss_dbs2;4,2.5,4,3.5,2.5,1.5,1.5,2,1.5
2403788;18ss_dbs2;0.5,4,4.5,4.5,1,2.5,5.5,2,1
2416892;18ss_dbs2;1.5,4.5,2.5,0.5,2,2.5,5,0,3.5
2432350;18ss_dbs2;1.5,0.5,5.5,3,3.5,0,2.5,4.5,1.5
2447709;18ss_dbs2;4,3,4.5,1,4,4.5,5,5,5
2457485;18ss_dbs2;0,3,3.5,3,1,2,2.5,1.5,1
2465834;18ss_dbs2;2.5,3,5.5,0.5,2,1,4,3.5,5
2554353;18ss_dbs2;5,1.5,4.5,4.5,2.5,1,4,3,4
2572911;18ss_dbs2;3.5,4.5,3,0,1,1.5,1,3,3
2592065;18ss_dbs2;1,3.5,5,0,3,4,5,3.5,4
2619123;18ss_dbs2;1.5,3.5,1.5,0,2,4,5,6,4
2626405;18ss_dbs2;0,4,2.5,0.5,0.5,0.5,3.5,0.5,5
2628926;18ss_dbs2;4,3.5,5,0,2.5,0.5,4.5,1.5,1
2697228;18ss_dbs2;0,2.5,2.5,0,4,2,6,0,1.5
2704961;18ss_dbs2;1.5,3.5,3,4,0.5,1.5,0,0,6.5
2751210;18ss_dbs2;2,1,5.5,1.5,0.5,5,4.5,4.5,1
2753024;18ss_dbs2;0,2.5,3,1,3.5,0,0.5,1.5,1.5
2753240;18ss_dbs2;0.5,2,6,1,4,1.5,4,3.5,1.5
2762308;18ss_dbs2;4.5,4,5,2.5,3.5,6,5.5,3.5,5
2766131;18ss_dbs2;5,4.5,5,5.5,3,5,5,4,5
2783402;18ss_dbs2;1,2.5,3.5,3.5,3,1,3,3.5,5
2804623;18ss_dbs2;2,3,4.5,0.5,0.5,2,5.5,4,3
2811434;18ss_dbs2;2.5,2.5,5,3,2,4.5,6,4.5,2.5
2816493;18ss_dbs2;1,3.5,1,2.5,1.5,2,3,0,2
2882340;18ss_dbs2;0,1,1,0,2,4.5,1,0.5,2
