Matrikel;KlausurNr;Punkte
2350704;15ws_dbs1;3,5.5,3,0.5,1,1.5,0
2352669;15ws_dbs1;3,4.5,5,4,5.5,0.5,3.5
2355955;15ws_dbs1;6,5.5,6,4,10.5,7,3
2360054;15ws_dbs1;2,5,4.5,1,7,2.5,3.5
2371714;15ws_dbs1;0,2,4,3,4,3,1
2383851;15ws_dbs1;2,2.5,5.5,2,4,1,2.5
2384159;15ws_dbs1;6,5,8,2.5,2.5,6.5,3.5
2399648;15ws_dbs1;2.5,2.5,3,0.5,0,1.5,3
2410997;15ws_dbs1;5.5,4,6.5,1.5,2.5,6,4.5
2427498;15ws_dbs1;2.5,3.5,8,2.5,3.5,4,1.5
2430407;15ws_dbs1;1.5,3.5,3.5,0,2,0,4
2442371;15ws_dbs1;2,4,2.5,0,4,1.5,6
2457485;15ws_dbs1;2,2.5,6,2,4,1,1.5
2471619;15ws_dbs1;3,3,2.5,0,3.5,1,2.5
2480715;15ws_dbs1;1.5,4,5,1,1,1.5,1
2499624;15ws_dbs1;5.5,5.5,5.5,5.5,5.5,3,3.5
2505970;15ws_dbs1;0,4.5,4,1.5,3.5,3,2
2507430;15ws_dbs1;5.5,4.5,7.5,5.5,9,7,2
2511879;15ws_dbs1;2.5,5,6.5,4.5,10.5,7.5,5.5
2514389;15ws_dbs1;3,3.5,5.5,4,6.5,4.5,3
2537652;15ws_dbs1;4.5,2,6.5,4,11,3,4
2555353;15ws_dbs1;2.5,4.5,4,2.5,5,4,3
2568269;15ws_dbs1;0.5,2,1,1,2.5,2.5,2.5
2604659;15ws_dbs1;3.5,5,6.5,3.5,2.5,2,1.5
2621600;15ws_dbs1;7.5,3,7.5,1.5,7.5,3.5,4.5
2628926;15ws_dbs1;7,3,2.5,2.5,1,1.5,2.5
2637085;15ws_dbs1;6,4,7.5,5.5,8,4.5,3.5
2638797;15ws_dbs1;5,4.5,4.5,0.5,1.5,5.5,2.5
2645991;15ws_dbs1;2,5,7,1.5,3,2.5,3
2683253;15ws_dbs1;6,4,7,1.5,6.5,4,1
2697228;15ws_dbs1;3.5,4,6,3.5,4.5,6,2.5
2697847;15ws_dbs1;1,4,5.5,3,4,4,1
2704440;15ws_dbs1;4,5,5.5,3,7.5,1,3
2706825;15ws_dbs1;5.5,5,7,4.5,10.5,7,3
2757371;15ws_dbs1;6.5,2.5,2.5,4,4,2.5,2.5
2772171;15ws_dbs1;6,4,7.5,3,6,6,3.5
2773893;15ws_dbs1;6.5,5,7,5.5,12,8,5.5
2787311;15ws_dbs1;2,3.5,3,2.5,0.5,3,0
2804619;15ws_dbs1;3.5,3.5,6.5,1.5,9,4.5,5.5
2816674;15ws_dbs1;4,3.5,5,3,6.5,1,3.5
2828608;15ws_dbs1;3.5,3,7,2.5,5,3.5,3
2839186;15ws_dbs1;3.5,0,2.5,0,2.5,2,0
2843193;15ws_dbs1;3,4.5,2,0.5,2.5,1.5,1
2845675;15ws_dbs1;6.5,6,4,3,3,2,3.5
2851693;15ws_dbs1;5,4,2.5,0.5,4,0.5,2
2855483;15ws_dbs1;3.5,3.5,6.5,1,10,5.5,2
2860166;15ws_dbs1;0,6,4.5,2,1,3.5,2
2885644;15ws_dbs1;6,4,5,5.5,11.5,7,5.5
2889684;15ws_dbs1;7,5.5,6.5,4.5,4.5,2.5,0
2895523;15ws_dbs1;4.5,3.5,8,4.5,9.5,4.5,2.5
2897655;15ws_dbs1;7,4,8,2.5,10.5,5.5,2.5
2901139;15ws_dbs1;2,4.5,6.5,1,8.5,3.5,1
2954653;15ws_dbs1;5,1,4,2,3.5,2,1.5
2956688;15ws_dbs1;2.5,4.5,0.5,2,0.5,2,2.5
2966456;15ws_dbs1;5,4.5,3,2.5,7,5.5,0.5
2974186;15ws_dbs1;5,4,6,4.5,11,7.5,4
2986175;15ws_dbs1;4,3,6,3,8,2.5,4
2988676;15ws_dbs1;1,4.5,2.5,3.5,1.5,3.5,0.5
3006293;15ws_dbs1;7,4,7,4,8,5.5,6
3008878;15ws_dbs1;4.5,0.5,4.5,0,0,4.5,3
3037929;15ws_dbs1;6.5,2.5,5,3.5,2.5,4.5,3
3040253;15ws_dbs1;3,4,4,1,8,0.5,3.5
3041815;15ws_dbs1;4,5,8,3.5,5,3,3
3062645;15ws_dbs1;7,5,7,4.5,9,5,4
3082695;15ws_dbs1;7,4.5,5.5,3.5,5.5,7,5
3091413;15ws_dbs1;6.5,4,4.5,4,7,4.5,4
3107993;15ws_dbs1;5,5,7.5,6,3,3,4
3112895;15ws_dbs1;0.5,3,2.5,1.5,2,2,3.5
3118365;15ws_dbs1;5,4,4,4,4.5,6,4
3125925;15ws_dbs1;5,3,5.5,2,4.5,4,3.5
3137802;15ws_dbs1;8,5,5.5,3.5,5.5,7.5,3
3142631;15ws_dbs1;0,0.5,2,1,3,1,5
3148771;15ws_dbs1;4,3.5,1.5,1.5,3,3.5,2
3149685;15ws_dbs1;5.5,3,6.5,2,4.5,3,3.5
3163111;15ws_dbs1;5,4,7,5,5,3,4.5
3170900;15ws_dbs1;5.5,4,6,1.5,7,4.5,4
3181579;15ws_dbs1;5,4.5,3,1,6,1,4.5
3187066;15ws_dbs1;5,3,4,4,3,3.5,2
3191517;15ws_dbs1;7,4.5,6.5,4,11,8,3.5
3191571;15ws_dbs1;2.5,0,3.5,0,4,0.5,2.5
3213238;15ws_dbs1;3,4,5,1.5,5.5,4,3.5
3217144;15ws_dbs1;3,3,7,3.5,7.5,3.5,3.5
3219148;15ws_dbs1;7,3.5,7,2,8,7,4
3228470;15ws_dbs1;1,0,3,0.5,3.5,1,1
3230857;15ws_dbs1;3.5,3.5,7.5,4.5,5.5,6,5
3246085;15ws_dbs1;4,4.5,8,2.5,10.5,8.5,4.5
3255300;15ws_dbs1;5.5,2.5,8,5,6,6.5,4.5
3258928;15ws_dbs1;6,5.5,7.5,4.5,10.5,3.5,4.5
3267278;15ws_dbs1;4,0,2.5,0,1.5,1,1.5
3272791;15ws_dbs1;6.5,2.5,7,2.5,5,1,4
3290013;15ws_dbs1;6.5,3.5,6.5,3.5,11,6,6
3314611;15ws_dbs1;6.5,4.5,6,4.5,11,6.5,5.5
3366961;15ws_dbs1;0.5,5,7,1,7.5,0.5,0
3398256;15ws_dbs1;6,5,7.5,2.5,8.5,5.5,2
3400556;15ws_dbs1;7,3.5,6,3.5,9,0.5,2
3401010;15ws_dbs1;1,2.5,6,0,2,4,2.5
3408971;15ws_dbs1;6,3,6.5,4,5,5,2.5
3423071;15ws_dbs1;2.5,5.5,1.5,2,0,0,1.5
3453414;15ws_dbs1;6,3.5,4,4,4.5,6.5,6
3454313;15ws_dbs1;3.5,5,2,3,4.5,7,3.5
3463754;15ws_dbs1;5.5,5,6,3.5,10.5,4.5,4
3476297;15ws_dbs1;2,2.5,0,4,1.5,2.5,1.5
3479178;15ws_dbs1;1,3,0,0.5,1,3,4
3494349;15ws_dbs1;3.5,4.5,1,0,3,1,3.5
3498680;15ws_dbs1;3.5,0,1,0.5,3.5,1.5,1
3504003;15ws_dbs1;3.5,2.5,1,2,8,3,3
3508719;15ws_dbs1;4,4.5,5.5,2,5.5,5.5,4
3509870;15ws_dbs1;6,0,6.5,1.5,5,8,2
3514121;15ws_dbs1;4,3,7,5.5,3.5,2.5,2
3531107;15ws_dbs1;2.5,3.5,1,0,2.5,0,3
3535940;15ws_dbs1;5.5,4.5,6.5,2,7.5,7,6
3546861;15ws_dbs1;3,3.5,4.5,2,1,0,0
3561559;15ws_dbs1;0.5,4.5,3,1.5,8,0,2.5
3571598;15ws_dbs1;7.5,3.5,6.5,5.5,12,6.5,1.5
3577854;15ws_dbs1;5,4,5,5,9,8,2
3582878;15ws_dbs1;6,5.5,7.5,5.5,8.5,6.5,5.5
3583505;15ws_dbs1;3.5,3,5,2,0.5,1,0
3585883;15ws_dbs1;3.5,3,6.5,1,5,0.5,3.5
3586735;15ws_dbs1;3.5,4,5.5,2.5,5.5,2,1.5
