Matrikel;KlausurNr;Punkte
2365084;15ws_mrdbs;2,4.5,4,4,2.5,3,4.5,6.5
2430940;15ws_mrdbs;4,4,2,5,4,2,3.5,1.5
2445967;15ws_mrdbs;4,1,3.5,2.5,3.5,4.5,4.5,2
2448396;15ws_mrdbs;7,3.5,3,2.5,2.5,1.5,1.5,1.5
2462493;15ws_mrdbs;5,2,0,0,0.5,0.5,1.5,0.5
2483661;15ws_mrdbs;3.5,4.5,5.5,4,2.5,1,3,1
2626382;15ws_mrdbs;1.5,5,1.5,0,1.5,0,2.5,0
2627313;15ws_mrdbs;7,5.5,2,4,4.5,5.5,4,5
2631079;15ws_mrdbs;4.5,3,2.5,4,3,3,1.5,3.5
2813425;15ws_mrdbs;0.5,4,3,0.5,3,1,4.5,0
2842724;15ws_mrdbs;5,4,1,2.5,2,1.5,3,1
2845296;15ws_mrdbs;4,4.5,5.5,3,3.5,4,4.5,4.5
2846959;15ws_mrdbs;2.5,3.5,1,1,3.5,5,2,4
2854838;15ws_mrdbs;7,6,6,5,5,3,3,3.5
2881419;15ws_mrdbs;5.5,4,3,4.5,3,3.5,3.5,4
2926916;15ws_mrdbs;4.5,3,2.5,5.5,4,2,2.5,2
2932142;15ws_mrdbs;5.5,3.5,3,4,2.5,0.5,4,5
2939428;15ws_mrdbs;3,2.5,2.5,2.5,2.5,0,1,2
3011223;15ws_mrdbs;5,6,1.5,4,2,1.5,1,1.5
3085808;15ws_mrdbs;3,3,3.5,2.5,2,4.5,3,3.5
3124707;15ws_mrdbs;0,0,0.5,0.5,0,1,0,0
3130637;15ws_mrdbs;7,4.5,5,4,3.5,6,5.5,3
3151635;15ws_mrdbs;6,5.5,4,2.5,1,4.5,4.5,0
3181640;15ws_mrdbs;3,0.5,5.5,1,1,1,2,0
3205615;15ws_mrdbs;5.5,2.5,4,3,4,1,4.5,2
3236513;15ws_mrdbs;0.5,1.5,1,1.5,0,1,0.5,1
3246085;15ws_mrdbs;6.5,2.5,4.5,3,2,5,6,1.5
3251958;15ws_mrdbs;6,5.5,2,2.5,4,2.5,6.5,2.5
3307553;15ws_mrdbs;2.5,2,2,0,0.5,0,0.5,1
3316800;15ws_mrdbs;8.5,1.5,2.5,0.5,4.5,3.5,0.5,2
3356420;15ws_mrdbs;4,4,5,4,2.5,1,2.5,1
3412240;15ws_mrdbs;5,2.5,2,0,4,0.5,2.5,0
3472323;15ws_mrdbs;6,3.5,1,2,0,2,2,0.5
3482006;15ws_mrdbs;3.5,1.5,1,0,2.5,1,2.5,2
3499925;15ws_mrdbs;3,2.5,2,2.5,2.5,3.5,4,1.5
3505393;15ws_mrdbs;8.5,6.5,3.5,5,3.5,3.5,4.5,0
3518549;15ws_mrdbs;7,3.5,4.5,3.5,3.5,4,3.5,4.5
3535914;15ws_mrdbs;2.5,0.5,0,2.5,1.5,5,3,3.5
3542883;15ws_mrdbs;8.5,2.5,2.5,5,2,4.5,6.5,3
3615316;15ws_mrdbs;1.5,0.5,0.5,0,0.5,0.5,0.5,0
3782358;15ws_mrdbs;5.5,5,5,5,4.5,5.5,6.5,5
3833307;15ws_mrdbs;7,5,4,3,4,0,1.5,0
3918729;15ws_mrdbs;4.5,1.5,0.5,0,1,0,1,1
