Matrikel;KlausurNr;Punkte
2365084;15ws_nosql;6.5,6.5,4,6.5,4,6
2382559;15ws_nosql;6,5,5.5,4.5,7,6.5
2430940;15ws_nosql;5,4,4,5,7.5,4.5
2448396;15ws_nosql;4.5,3.5,2,7,7.5,6
2462493;15ws_nosql;4,3.5,4,2.5,3,2.5
2483661;15ws_nosql;6,4.5,1.5,6,5,5.5
2626382;15ws_nosql;5.5,2,2.5,2,4.5,4.5
2627313;15ws_nosql;6,7,5,5.5,5,6
2669952;15ws_nosql;6.5,6.5,2.5,5,3,6.5
2708641;15ws_nosql;0,0,0,0,0,1
2813425;15ws_nosql;4.5,4.5,2.5,6,3,6.5
2842724;15ws_nosql;4,2.5,2.5,6,3.5,5
2844172;15ws_nosql;7,3,3.5,5,3.5,5.5
2845296;15ws_nosql;6,5.5,1.5,6,5,8
2854838;15ws_nosql;3.5,7.5,4,6,7,5.5
2881419;15ws_nosql;7.5,6.5,4.5,7,6,4
2926916;15ws_nosql;4,6.5,4,4,5.5,5
2932142;15ws_nosql;5.5,7,3,5,5.5,6.5
2939428;15ws_nosql;7,1,0,2.5,4,6
2986949;15ws_nosql;2,0,1.5,2,2,0
3011223;15ws_nosql;4,2,3,2.5,3.5,8
3058961;15ws_nosql;7,6,6,6,7.5,8.5
3073635;15ws_nosql;6,4.5,3,6.5,5,5.5
3085808;15ws_nosql;5,6,3,7,5.5,6
3124707;15ws_nosql;0.5,0,0,0,1,0
3130637;15ws_nosql;7.5,6.5,7,3.5,8.5,6.5
3151635;15ws_nosql;7,6,3.5,6.5,6,7
3157792;15ws_nosql;6.5,3,6.5,6.5,6.5,5
3181640;15ws_nosql;4,2.5,2,5,4.5,5.5
3183854;15ws_nosql;6,7.5,6,6.5,7.5,5.5
3236513;15ws_nosql;5.5,4.5,5,3.5,6.5,3.5
3246085;15ws_nosql;6.5,8,5,5,5.5,6.5
3251958;15ws_nosql;6,6.5,5.5,6.5,8,8
3300253;15ws_nosql;3.5,5,1,4,5,4.5
3307553;15ws_nosql;5.5,4.5,4,5,6.5,6.5
3356420;15ws_nosql;6,5,2.5,6.5,5.5,5
3412240;15ws_nosql;5.5,8.5,5,5,5.5,7
3472323;15ws_nosql;6.5,2.5,1.5,1.5,4,2.5
3499925;15ws_nosql;4.5,4.5,2.5,5.5,4.5,6.5
3503118;15ws_nosql;7,2,1.5,3.5,4,5
3505393;15ws_nosql;6,5.5,4,6,5.5,3
3513182;15ws_nosql;6.5,5.5,5,7,7.5,6
3518549;15ws_nosql;6.5,4,4,3,4,6.5
3535914;15ws_nosql;7,5.5,2.5,4.5,3.5,4.5
3542883;15ws_nosql;4.5,5.5,1,3,2.5,6
3590353;15ws_nosql;0,0.5,0.5,0.5,1,0
3614173;15ws_nosql;8,7,3.5,3.5,5.5,4
3615316;15ws_nosql;4.5,0,2,4.5,1.5,5.5
3642072;15ws_nosql;6.5,4.5,5.5,2,4.5,3.5
3782358;15ws_nosql;7.5,8.5,5.5,6.5,6.5,6
3833307;15ws_nosql;5.5,6,3.5,6,7.5,9
3918729;15ws_nosql;4.5,2.5,3.5,5,5.5,6
