Matrikel;KlausurNr;Punkte
2393113;17ss_dbs1_wh;6,2,2.5,3,1,1,3
2408380;17ss_dbs1_wh;7.5,2,4,3,4.5,5.5,1
2443512;17ss_dbs1_wh;6,4,5.5,2,3.5,4.5,0
2446967;17ss_dbs1_wh;4.5,3,7.5,2,4.5,4,0
2480715;17ss_dbs1_wh;6.5,4.5,7,1.5,4,0.5,2
2496133;17ss_dbs1_wh;3.5,2,0,0,1,3.5,1.5
2603951;17ss_dbs1_wh;5,3.5,7.5,1.5,1,6.5,0
2753240;17ss_dbs1_wh;3,1,4,2,0.5,1,0
2783402;17ss_dbs1_wh;3.5,3,3.5,0.5,1,2.5,1.5
2831365;17ss_dbs1_wh;7.5,4.5,6,3,6,7.5,0.5
2832610;17ss_dbs1_wh;7.5,5,6,1,1,4,5.5
2868687;17ss_dbs1_wh;7,5,7.5,4.5,5.5,3.5,2.5
2945677;17ss_dbs1_wh;3.5,3,3.5,2.5,1,4,0
3127106;17ss_dbs1_wh;7.5,4.5,6.5,2.5,7,8,3.5
3150444;17ss_dbs1_wh;6.5,3,3.5,4.5,3.5,2,1
3182286;17ss_dbs1_wh;7,5,8,3,4.5,6,4
3325882;17ss_dbs1_wh;0,1,5,0,3,1.5,0
3348443;17ss_dbs1_wh;4.5,3.5,3,1.5,1,2,2.5
3359769;17ss_dbs1_wh;5,2,6,2.5,2,4,3
3403053;17ss_dbs1_wh;8.5,3,4,3,0,4.5,5
3419107;17ss_dbs1_wh;5,2.5,3.5,2.5,2.5,3.5,2.5
3437045;17ss_dbs1_wh;4.5,2,4,0,0,1.5,2.5
3450112;17ss_dbs1_wh;4,4,7.5,3,1.5,4.5,1
3478046;17ss_dbs1_wh;3.5,4.5,3.5,1.5,2.5,5,1
3498680;17ss_dbs1_wh;5.5,2,5.5,1.5,2.5,1.5,0
3531365;17ss_dbs1_wh;7,3,8,3.5,4,7.5,1
3533392;17ss_dbs1_wh;2.5,4.5,1,1,3.5,1.5,0
3658386;17ss_dbs1_wh;7,3,8,3,6.5,3.5,3
3690005;17ss_dbs1_wh;6.5,3,6,1.5,2,5.5,4.5
3713417;17ss_dbs1_wh;3,2.5,1,0,0,3.5,0
3747484;17ss_dbs1_wh;3.5,2.5,4.5,1.5,3.5,4,0
3753725;17ss_dbs1_wh;4.5,0,2.5,0,0,4.5,0
3775958;17ss_dbs1_wh;3.5,2.5,3,0,0.5,1.5,2.5
3776082;17ss_dbs1_wh;5,1,5,4,0.5,0,2
3795358;17ss_dbs1_wh;5,4.5,4.5,2.5,5,0.5,1
3850170;17ss_dbs1_wh;5.5,4.5,3.5,2.5,2.5,2,1
3879441;17ss_dbs1_wh;6.5,2,3.5,3.5,1,8,4
