Matrikel;KlausurNr;Punkte
2357215;17ss_dbs2;1,1,1.5,0.5,0,3,5,1.5,1.5
2360054;17ss_dbs2;2,2.5,3,4.5,1,5,3,5,7.5
2390585;17ss_dbs2;2,3,3,1.5,4.5,1,0,0.5,3
2393113;17ss_dbs2;4,1,2.5,1.5,1,4.5,3.5,0,3
2394070;17ss_dbs2;3.5,3.5,2,0,4,4,2.5,2,5.5
2419134;17ss_dbs2;5,1,2.5,4.5,6,6,4.5,5.5,6
2420966;17ss_dbs2;2.5,3.5,2.5,3,6,2.5,5.5,3.5,2
2443512;17ss_dbs2;0.5,0,0,0,0,2.5,1,0.5,0
2457485;17ss_dbs2;0,0,0,0,1,0,0.5,0,0
2469579;17ss_dbs2;3,1.5,2.5,0,0,1,0,1,3
2480715;17ss_dbs2;2,4,3,2.5,1,2.5,0,1.5,2
2507430;17ss_dbs2;2.5,3.5,1.5,3,3.5,5.5,4,2,1
2542549;17ss_dbs2;4.5,1,1.5,1.5,3.5,5.5,4.5,1,5
2544297;17ss_dbs2;5.5,2,3,3,2.5,5.5,4,2.5,6
2558967;17ss_dbs2;4,2.5,2.5,3.5,5.5,6,0,0.5,5
2568269;17ss_dbs2;0.5,2,0,1.5,1,5,2.5,1.5,1
2572267;17ss_dbs2;3,2,1.5,4,0,5,2,0,6
2595205;17ss_dbs2;2,2.5,2.5,1.5,0,4.5,2,2.5,5
2603951;17ss_dbs2;3.5,2.5,4,1,4,5,4,4.5,1.5
2604150;17ss_dbs2;2.5,4,4,4,6,3.5,5.5,3.5,3
2604659;17ss_dbs2;4.5,2,3,2,0,0.5,1.5,3,2.5
2606022;17ss_dbs2;4,5.5,5,4.5,4.5,5,5.5,5.5,5
2618125;17ss_dbs2;4,4,3,1,6.5,6,4.5,4,4.5
2622759;17ss_dbs2;4,2,4,1,0.5,4,5,3.5,3.5
2623934;17ss_dbs2;5.5,4,2,1,5.5,3,1.5,0.5,4
2636152;17ss_dbs2;4,3,3.5,3,6.5,5,4,4,5.5
2638797;17ss_dbs2;2,2.5,1.5,3,1,5,3,2,4
2704440;17ss_dbs2;3,2,2.5,4,0.5,4.5,3,0.5,4
2753240;17ss_dbs2;3,1.5,3,0,2.5,2.5,1,1.5,2
2766950;17ss_dbs2;4.5,4.5,2,1,7,3,6,0,5
2783402;17ss_dbs2;4.5,1,1,0,0,1,2,0.5,3.5
2796538;17ss_dbs2;4,1.5,1,2.5,6.5,6,5.5,3.5,5
2804619;17ss_dbs2;5,1.5,3,3.5,5.5,5,5,2,4.5
