Matrikel;KlausurNr;Punkte
2372739;17ss_nosql;3.5,1,2,1,4,6
2390465;17ss_nosql;6.5,1,5,5.5,3.5,6.5
2454758;17ss_nosql;7.5,6,5.5,2.5,5,6.5
2538534;17ss_nosql;5,4,3,6,4.5,4.5
2627020;17ss_nosql;0.5,0.5,1.5,4.5,0.5,4
2660628;17ss_nosql;6,7.5,6.5,6,7.5,8
2749752;17ss_nosql;2,2,3.5,4.5,3.5,4
2751871;17ss_nosql;0,0,0,0,0,1
2804376;17ss_nosql;6,3,6.5,5,4.5,6
2804619;17ss_nosql;5.5,2,4,5,6.5,7
2873039;17ss_nosql;1,0,0,1,0,0
2908677;17ss_nosql;2.5,6,2,6,7,8
2964297;17ss_nosql;6.5,6.5,5,2,5.5,7
3092899;17ss_nosql;5.5,7.5,4,5,7,7.5
3117865;17ss_nosql;0,1,0.5,0,0,1
3124707;17ss_nosql;1.5,0,0,1.5,0,3.5
3153305;17ss_nosql;4,3,0,0,3.5,1.5
3218519;17ss_nosql;7,8,7,5,6.5,6
3231751;17ss_nosql;6,5,2.5,5.5,7.5,7.5
3314611;17ss_nosql;7,9,5.5,6.5,7,7
3350783;17ss_nosql;5.5,9,4,5.5,6,8.5
3353318;17ss_nosql;6.5,4.5,5,5.5,7.5,9
3370698;17ss_nosql;6,6.5,5.5,5.5,8,7
3450035;17ss_nosql;5.5,4.5,4.5,4,7.5,7
3477044;17ss_nosql;4.5,6,5,6.5,7.5,5.5
3635443;17ss_nosql;8,5.5,5,5,8.5,6
3662657;17ss_nosql;4,4.5,2.5,1,3.5,5
3726028;17ss_nosql;6.5,5.5,5,5.5,5,4
3891733;17ss_nosql;8,10,4.5,4,7,7
3894627;17ss_nosql;6,4.5,6.5,5,5.5,5
3912127;17ss_nosql;6,4.5,5.5,7,8.5,7.5
