Matrikel;KlausurNr;Punkte
2390465;16ws_cdm;7.5,2,7,6,1,0,0.5
2436209;16ws_cdm;1,0.5,2.5,1,0,0.5,1
2445967;16ws_cdm;0,0,0,0.5,1,0,1
2454758;16ws_cdm;8,3,5,2,2,3.5,6
2461286;16ws_cdm;8.5,1.5,6.5,6.5,1.5,2,2.5
2528097;16ws_cdm;7.5,5.5,5.5,7,5,7,4
2604659;16ws_cdm;0,2.5,1.5,0.5,0.5,0,0.5
2621600;16ws_cdm;6,2,5.5,7,6,3.5,4
2626405;16ws_cdm;7,4.5,7,6,3,1.5,4.5
2637085;16ws_cdm;7.5,2,7.5,8,4.5,3.5,6
2660628;16ws_cdm;7.5,5,6.5,7.5,8,6.5,6.5
2804376;16ws_cdm;7.5,6,5,7.5,3,6.5,5.5
2895523;16ws_cdm;7.5,4.5,7,4.5,7,1.5,2.5
2901139;16ws_cdm;8,3,5,4,1.5,6,2
2908677;16ws_cdm;6.5,1.5,6,7,0,6.5,6.5
2969842;16ws_cdm;7,5,7,6,4.5,5.5,4.5
2974186;16ws_cdm;7,3,6,6,9,6.5,5.5
3055690;16ws_cdm;7,1,3.5,0,0,0,0
3091456;16ws_cdm;8.5,1.5,7.5,5.5,6,5.5,5
3118365;16ws_cdm;9,0,6.5,6.5,2,3,0
3125925;16ws_cdm;6,1.5,6.5,4,1.5,1,2
3181640;16ws_cdm;5.5,1.5,8,6,4.5,2,2.5
3187066;16ws_cdm;8,1,6.5,6,2.5,2,1
3205615;16ws_cdm;6,3.5,6.5,6.5,8,7,5
3213238;16ws_cdm;7,0.5,6,4.5,3,5.5,2.5
3228470;16ws_cdm;0,1,0.5,1,0.5,1,0
3236513;16ws_cdm;8,2,4,6.5,1,2,5.5
3267278;16ws_cdm;6,2.5,5.5,4,6,3,3.5
3272791;16ws_cdm;5.5,0,6,8,2.5,2.5,5.5
3290013;16ws_cdm;7.5,6,7,6.5,6.5,7.5,5
3314611;16ws_cdm;6.5,4,5.5,6,7.5,6,6
3330552;16ws_cdm;7.5,3.5,6,5,6,7,6
3350783;16ws_cdm;7,1.5,6.5,7,1.5,3,5.5
3366961;16ws_cdm;6,4.5,2.5,5.5,2.5,0,1
3370698;16ws_cdm;6.5,4,5.5,5.5,2,5,5
3388808;16ws_cdm;8.5,3.5,6.5,7,7.5,8,4
3450035;16ws_cdm;6.5,2,5.5,4.5,5.5,3,3
3453414;16ws_cdm;6.5,5.5,4.5,5.5,3.5,6,3
3477044;16ws_cdm;6,5,5.5,2.5,6,0,3.5
3478878;16ws_cdm;5,1,5.5,4.5,2,5.5,4.5
3514431;16ws_cdm;8,3.5,7.5,6,3,0,4
3535585;16ws_cdm;7,5,8,8,7,5.5,6.5
3571598;16ws_cdm;7,5,7,6,7,4.5,6.5
3577854;16ws_cdm;6,3.5,6,6.5,9,5.5,6
3635443;16ws_cdm;4.5,4,6,7.5,6,5,4.5
3662045;16ws_cdm;5.5,4.5,5,6.5,5,1,1.5
3748078;16ws_cdm;4,6,7.5,6,2.5,0,5.5
3809816;16ws_cdm;6.5,2.5,6.5,7,4,5,2
3829731;16ws_cdm;9,1,5.5,4,4.5,8,4.5
3835187;16ws_cdm;7.5,2.5,5,7,4.5,6.5,2
3936117;16ws_cdm;3,2,6.5,7.5,0.5,5,4
