Matrikel;KlausurNr;Punkte
2390465;16ws_idbs1;4,3.5,6.5,4.5,2.5,1.5,2.5
2436209;16ws_idbs1;0,3,3,4,0,2.5,2
2454758;16ws_idbs1;4,3.5,5.5,3.5,4,4,2
2461286;16ws_idbs1;2.5,2,3,1.5,1,5.5,3.5
2497651;16ws_idbs1;2.5,3,2,4,2,3.5,1.5
2528097;16ws_idbs1;3.5,4.5,7,2,4,7,2.5
2604659;16ws_idbs1;1,3.5,2.5,2,1,1.5,3.5
2621600;16ws_idbs1;2.5,4,3,3,4.5,6,1.5
2626405;16ws_idbs1;1,4,3,2,3,1,3.5
2637085;16ws_idbs1;2,6,5.5,4.5,5.5,3.5,4.5
2660628;16ws_idbs1;3.5,5.5,4.5,4.5,4,6,5
2895523;16ws_idbs1;3.5,4,5,4,1,1,3.5
2908677;16ws_idbs1;5,2,5,1,1.5,4,4
2938009;16ws_idbs1;1,4.5,4,1,0,0,1
2969842;16ws_idbs1;2.5,3,6,4,6.5,6.5,5.5
2974186;16ws_idbs1;2.5,7.5,7,4.5,3.5,6,4.5
3055690;16ws_idbs1;1.5,1,0,0,0,0,0.5
3091456;16ws_idbs1;3.5,4.5,8,5,6,6,4.5
3118365;16ws_idbs1;0,0,6,2,2,1.5,0
3125925;16ws_idbs1;2,3.5,6,2,1,0,2.5
3181640;16ws_idbs1;2.5,0.5,6.5,7,3,0.5,2
3187066;16ws_idbs1;2.5,2.5,9,6,5,8,1
3205615;16ws_idbs1;0,0,1,0.5,0,0.5,0
3213238;16ws_idbs1;3.5,4,4,1.5,0.5,3,1
3228470;16ws_idbs1;0,0,0,0.5,0,0,0
3236513;16ws_idbs1;0,0,0,0.5,0,0,0
3267278;16ws_idbs1;0.5,0.5,6,3.5,4,1.5,2.5
3272791;16ws_idbs1;2.5,3.5,3.5,4.5,1.5,2,3
3290013;16ws_idbs1;1.5,5,7.5,3.5,6,6,2
3314611;16ws_idbs1;2,5.5,7.5,5.5,6,6,6
3330552;16ws_idbs1;3.5,2,6,5.5,3,5.5,2
3350783;16ws_idbs1;1,0,0,1,1,0,0
3366961;16ws_idbs1;2.5,2,4,0,0.5,0,0.5
3388808;16ws_idbs1;3.5,5.5,7.5,3,6.5,8.5,5
3392138;16ws_idbs1;3,3,4.5,2.5,2.5,2,0
3450035;16ws_idbs1;2.5,3,2.5,3,3,1,2.5
3453414;16ws_idbs1;2.5,3,7.5,4,3,3.5,5
3478878;16ws_idbs1;3,4.5,5.5,5,1.5,1.5,2
3513182;16ws_idbs1;4,3.5,6,3.5,5.5,5,3.5
3535585;16ws_idbs1;5,3,6,7,5,6,6
3571598;16ws_idbs1;1,4,6.5,6.5,6,7,4.5
3577854;16ws_idbs1;2.5,7,5,4.5,5.5,7,4.5
3662045;16ws_idbs1;1,6,5.5,3,2.5,4.5,3.5
3726028;16ws_idbs1;3,3.5,3,2,0,0,2
3748078;16ws_idbs1;1.5,3,6,3.5,2,4,2.5
3809816;16ws_idbs1;2,3,5,3,3.5,8,3
3829731;16ws_idbs1;3,4,4.5,6.5,4.5,5.5,1.5
3835187;16ws_idbs1;4.5,4,7.5,5.5,1.5,5,1.5
3936117;16ws_idbs1;4.5,1,2,4,3.5,1.5,0.5
