Matrikel;KlausurNr;Punkte
2372739;17ss_idbs2;4,2,2,0.5,0.5,0.5,1,4
2390465;17ss_idbs2;5.5,3,1.5,3.5,4.5,2.5,2.5,1.5
2454758;17ss_idbs2;2,1,3,2,1,1,1.5,3.5
2627020;17ss_idbs2;3,3,1.5,0.5,3.5,1,4,3
2660628;17ss_idbs2;3.5,4.5,3,4,5.5,4.5,3.5,7
2749752;17ss_idbs2;1.5,2,4.5,0.5,3.5,1.5,3.5,7
2751871;17ss_idbs2;1,0,0,0,1,0.5,0,0.5
2804376;17ss_idbs2;4.5,4,0,3.5,3.5,1.5,2.5,4
2804619;17ss_idbs2;4,2.5,4.5,6,4.5,1.5,3,3.5
2831427;17ss_idbs2;2,1,0.5,1.5,1,0,0.5,1.5
2873039;17ss_idbs2;0,1.5,0,0,0,1,0.5,3
2908677;17ss_idbs2;2.5,3,4.5,1,3.5,0,3,6
2964297;17ss_idbs2;2,0,3,1.5,3.5,0,2,4
3092899;17ss_idbs2;4.5,2.5,4.5,5,5.5,1,1.5,4
3117865;17ss_idbs2;2.5,1.5,0,0,0,0,0,0.5
3124707;17ss_idbs2;0,0,0.5,1,2.5,1,0.5,3
3153305;17ss_idbs2;1.5,0.5,0.5,1.5,0,0,0,1
3231751;17ss_idbs2;4.5,4,3.5,5,4.5,3,1,4
3314611;17ss_idbs2;6,3.5,5.5,6,6,5.5,3.5,7.5
3350783;17ss_idbs2;4,4.5,5,3.5,3,5,1,7
3370698;17ss_idbs2;2.5,1.5,5,3.5,3,2.5,2,3
3450035;17ss_idbs2;3,1,2.5,5,3,1,3.5,3.5
3635443;17ss_idbs2;2,2.5,4,1,4,0.5,3,3.5
3662657;17ss_idbs2;0,0,0,0,0.5,1,0,0.5
3726028;17ss_idbs2;3,2.5,4,5.5,3,2.5,1,4.5
3894627;17ss_idbs2;3,4,2.5,2,5.5,2,3.5,7
3912127;17ss_idbs2;1,2.5,5,4.5,5.5,5,2.5,6
