Matrikel;KlausurNr;Punkte
2385615;17ws_mrdbs;5,2,2,5,3,3.5,2,1
2424900;17ws_mrdbs;8,4.5,7,5,4,5,4,6
2522516;17ws_mrdbs;6.5,4,3,5,0,1,4,4
2542549;17ws_mrdbs;7.5,2,3,2,1.5,6,4.5,3
2561022;17ws_mrdbs;7,1.5,2.5,2.5,6,4,8,3
2606022;17ws_mrdbs;6.5,4.5,6.5,5,4,4.5,8.5,7
2618598;17ws_mrdbs;3,0.5,4,2.5,2,0,0,2
2626382;17ws_mrdbs;5,3.5,3,0,3,4.5,4.5,3
2628926;17ws_mrdbs;3.5,2.5,1,4,2,5,4,2.5
2668150;17ws_mrdbs;4,1.5,3,2.5,1,0.5,0,0.5
2723339;17ws_mrdbs;7.5,6,5,4.5,4.5,4.5,4,4.5
2749752;17ws_mrdbs;1.5,1,3,2,1,0,1,2
2796538;17ws_mrdbs;6.5,5.5,5,5,5.5,4,2.5,5.5
2820783;17ws_mrdbs;5,2,5,3.5,3,5.5,0,0.5
2822033;17ws_mrdbs;7,4.5,6.5,5,4.5,5.5,6,5.5
2824223;17ws_mrdbs;5.5,3,6.5,6,4.5,2,3.5,3
2855748;17ws_mrdbs;5.5,5.5,4.5,6,3,3,3,3.5
2895523;17ws_mrdbs;5.5,5,2.5,4.5,4,2,4,2
2969842;17ws_mrdbs;8,2,4.5,4,4,3.5,7,3
2978104;17ws_mrdbs;2,4.5,4,5.5,3.5,4.5,4,6
2990589;17ws_mrdbs;0.5,0.5,1.5,1,0,0.5,0,0
3015658;17ws_mrdbs;1.5,1,0.5,2.5,0,1.5,1.5,0
3029075;17ws_mrdbs;5.5,5.5,3.5,6,3,5,3.5,3.5
3062426;17ws_mrdbs;4,0.5,1,1.5,4.5,3,2.5,1.5
3087188;17ws_mrdbs;2.5,1,1.5,4,1,0,0,1
3092899;17ws_mrdbs;7,5.5,6.5,4,4.5,4.5,7,5.5
3095218;17ws_mrdbs;4,0,0.5,0,3,0.5,0,2.5
3100822;17ws_mrdbs;2,0,0,0,0,1,0.5,0
3137802;17ws_mrdbs;7,4,3.5,4.5,4,5.5,5.5,3.5
3153305;17ws_mrdbs;2,1,0.5,0,0,1,1,0
3304557;17ws_mrdbs;3.5,3,3,4,3.5,4,2.5,1
3314611;17ws_mrdbs;8,5,7,4,5,5.5,6,6.5
3401010;17ws_mrdbs;6,1.5,2,0,4.5,1.5,1.5,5
3408777;17ws_mrdbs;4.5,2.5,6,4,2,3,6,2.5
3419107;17ws_mrdbs;5.5,1.5,0,1,0,0,2,2
3524253;17ws_mrdbs;2,5,4.5,4,1.5,4,3,3.5
3545630;17ws_mrdbs;6,3,1.5,5,0,0,0,0
3635443;17ws_mrdbs;5.5,1,4,3,2,5.5,3,1.5
3641537;17ws_mrdbs;2,2,0,1,0,0,0.5,1.5
3710449;17ws_mrdbs;2,5,4,3.5,1,2,0,0.5
3742059;17ws_mrdbs;6,4.5,6,6,4.5,6,6,6
3846100;17ws_mrdbs;3,0,0.5,4.5,2.5,3.5,1.5,2.5
3922865;17ws_mrdbs;3.5,0,6.5,4,6,3.5,5,2.5
