Matrikel;KlausurNr;Punkte
2351668;18ss_dbs1_wh;8.5,3,6,5.5,7.5,8,4.5
2359179;18ss_dbs1_wh;5,2.5,7.5,5,4,0,0
2361890;18ss_dbs1_wh;5,4.5,4.5,4,5.5,6,1
2367332;18ss_dbs1_wh;7,2.5,6.5,5.5,4,9,3.5
2388677;18ss_dbs1_wh;4.5,4.5,6.5,5,6,1.5,0
2426534;18ss_dbs1_wh;6,4,5.5,4.5,1,6.5,0
2459357;18ss_dbs1_wh;5,3.5,6.5,5,1.5,8,1
2542523;18ss_dbs1_wh;6,1,6.5,4.5,1.5,7.5,2.5
2695921;18ss_dbs1_wh;2.5,4.5,7.5,0,1,7,0
2733693;18ss_dbs1_wh;6.5,2.5,1.5,2,2,1,0
2783421;18ss_dbs1_wh;0,2.5,4,2.5,3.5,5.5,0
2833647;18ss_dbs1_wh;6.5,1.5,3,2.5,8,6.5,0.5
2873825;18ss_dbs1_wh;4,3,3,1,2.5,2,4
2949013;18ss_dbs1_wh;3.5,1,6,0.5,6.5,7.5,3
2966322;18ss_dbs1_wh;9,2,8,6,7,4.5,2.5
2977409;18ss_dbs1_wh;3.5,2,3,2.5,2,2.5,2.5
3021152;18ss_dbs1_wh;2.5,2,7,1.5,4,5.5,2
3073325;18ss_dbs1_wh;0,3,3.5,0,2,3,0.5
3086102;18ss_dbs1_wh;2.5,4,4.5,0,3,5.5,0.5
3097520;18ss_dbs1_wh;3.5,2,4,2,1,1.5,1
3160112;18ss_dbs1_wh;1,0,1,0,1.5,1.5,0
3179301;18ss_dbs1_wh;3,0,4.5,3,0,0.5,1
3358535;18ss_dbs1_wh;2.5,1,3.5,0,1.5,2,0
3438844;18ss_dbs1_wh;6,3,6,3.5,2,5,2.5
3471063;18ss_dbs1_wh;3.5,2.5,0,0,6,1,2
3586311;18ss_dbs1_wh;4,2,2,2.5,2,8,2
3707493;18ss_dbs1_wh;5.5,1.5,4,6,7.5,7,4.5
3775260;18ss_dbs1_wh;6.5,2,5,4,2,0,0.5
3792719;18ss_dbs1_wh;1,0.5,4,2,4,2,2
3809742;18ss_dbs1_wh;7.5,4,0.5,4,0,7.5,3.5
3840457;18ss_dbs1_wh;5,4,5,4,5.5,1.5,1
3868061;18ss_dbs1_wh;8,2.5,7,7,5.5,5.5,0
3872457;18ss_dbs1_wh;3.5,1,6.5,5,3,6.5,2.5
3913083;18ss_dbs1_wh;5,2.5,6.5,6.5,5.5,8,3.5
