Matrikel;KlausurNr;Punkte
2376791;18ss_nosql;6.5,2,5.5,5,4.5,2.5,5,4.5
2378843;18ss_nosql;5.5,1,4,3,2.5,3.5,5.5,1
2385615;18ss_nosql;2,2.5,5.5,4,3,5,3.5,3.5
2388677;18ss_nosql;2.5,0,1,0,2,0,0,0.5
2410997;18ss_nosql;4.5,2.5,5.5,3,6,3.5,1,3.5
2415195;18ss_nosql;1.5,0,1,4.5,1.5,0,0,2.5
2420966;18ss_nosql;5.5,2,5.5,5.5,4,4,2,5.5
2561022;18ss_nosql;3,1,4.5,5,5.5,5,3,8
2604659;18ss_nosql;4.5,1.5,1,0,3,0,0.5,4.5
2621600;18ss_nosql;4.5,3.5,5.5,3,5.5,3.5,3,7
2628926;18ss_nosql;5.5,1.5,6.5,4,3.5,4.5,3,5
2637085;18ss_nosql;4.5,2.5,6,3.5,5,4.5,1.5,8
2723339;18ss_nosql;7,2.5,5.5,4,5,4,2,5
2820783;18ss_nosql;6,1.5,4.5,2.5,3,4,0,3.5
2882327;18ss_nosql;4,2.5,7,3,4,3,4.5,2.5
2895523;18ss_nosql;5,1.5,6,2,3.5,4.5,1.5,6
2955328;18ss_nosql;5,2.5,6,4,5,5,0.5,4
2969842;18ss_nosql;5,1,5,3.5,3,6,3,7
3055690;18ss_nosql;4.5,2,2,4,2.5,3,0,1.5
3137802;18ss_nosql;5,2.5,4.5,4.5,4.5,3,1,3.5
3150444;18ss_nosql;5,2,5.5,1.5,5,2,3,4.5
3173160;18ss_nosql;5,2.5,3.5,3.5,6.5,3.5,3.5,6
3187066;18ss_nosql;2,1.5,6,5.5,5,4,2.5,4
3195563;18ss_nosql;6,1.5,4.5,6,3,6,2.5,7.5
3346715;18ss_nosql;4,3,7,1.5,2.5,3,2.5,6
3463754;18ss_nosql;6,2.5,4.5,4,5,5.5,7,8
3471945;18ss_nosql;6,3,6.5,3.5,3.5,3.5,2,5
3524253;18ss_nosql;6.5,2.5,6,4.5,5,3.5,0.5,7
3585883;18ss_nosql;4.5,1.5,6.5,2,4.5,1.5,3.5,8
3657067;18ss_nosql;4.5,1,8.5,4,4.5,4,1,5
3878392;18ss_nosql;4.5,0.5,4,5,4,5.5,5,3
3936117;18ss_nosql;5.5,2,5,3,2.5,4,1.5,6.5
