Matrikel;KlausurNr;Punkte
2369791;16ss_dwh;4.5,4.5,4.5,2,4,4,2
2445967;16ss_dwh;3.5,7,4.5,0.5,3,7.5,4
2472020;16ss_dwh;4.5,7,4,2,0.5,2.5,4
2528097;16ss_dwh;5,8,8,5,4.5,3.5,4.5
2538534;16ss_dwh;5,5.5,5.5,3.5,1,7.5,3.5
2545874;16ss_dwh;4.5,7.5,5,1,4,6.5,6
2758233;16ss_dwh;4.5,7.5,4,1,5,8,3.5
2813425;16ss_dwh;4,5.5,2,1.5,2.5,6,2.5
2905144;16ss_dwh;5.5,7,6,1,3,9,5.5
2908677;16ss_dwh;5,7.5,6,2.5,3.5,5,4.5
2932142;16ss_dwh;5,7.5,2.5,2,0,6.5,5
3011223;16ss_dwh;6,3.5,3.5,3.5,3.5,4,5
3130637;16ss_dwh;5,9,5,5.5,4.5,9,5.5
3179540;16ss_dwh;5,8.5,6,5,6,9,4
3181640;16ss_dwh;3.5,3,1.5,0.5,3.5,5,2.5
3205615;16ss_dwh;6,8.5,1,3.5,5,7,3.5
3232461;16ss_dwh;5.5,7,7,3.5,5.5,10,6.5
3236513;16ss_dwh;3.5,5,5,1,1.5,6.5,4
3307553;16ss_dwh;4,7,4.5,3,6.5,7,2.5
3392138;16ss_dwh;3.5,5.5,2,0.5,2,5.5,3.5
3441398;16ss_dwh;6,5,4.5,3,5.5,3,3
3463013;16ss_dwh;6.5,5,0,1.5,3.5,7.5,3
3535585;16ss_dwh;4.5,8.5,4,5,5,7,4.5
3535914;16ss_dwh;4.5,6,3,4,4,4.5,1.5
3615316;16ss_dwh;4,5,4,0.5,4,9,3
3656941;16ss_dwh;5,5.5,5,0.5,3,10,5
3667891;16ss_dwh;5,7,4.5,3.5,4,9,4
3743614;16ss_dwh;6.5,5,6.5,3.5,5,8,2.5
3781410;16ss_dwh;5,5,4.5,1.5,1.5,1,0
3782358;16ss_dwh;4.5,8,7,4,5,9,4
3865100;16ss_dwh;2.5,2.5,2,0,0,1,2
3916123;16ss_dwh;4,8,3,3,4,4,3.5
3922903;16ss_dwh;4,5.5,3.5,3.5,3.5,6,5
