Matrikel;KlausurNr;Punkte
2552169;18ws_dbs1;6.5,2,10,2.5,3,5,4
2593565;18ws_dbs1;5.5,2,9,0,4,4.5,3.5
2683788;18ws_dbs1;5,1.5,8.5,1,4.5,6,4.5
2873825;18ws_dbs1;5,1.5,7,2,1.5,7.5,2
2918632;18ws_dbs1;3,1.5,6.5,0.5,2,2.5,2.5
2991691;18ws_dbs1;6,1.5,4.5,0,3,5,1.5
3073325;18ws_dbs1;6,1.5,8,1,4.5,8,3.5
3097520;18ws_dbs1;3.5,2.5,8,3.5,3,2.5,5
3179301;18ws_dbs1;3,2,4.5,0,1,2.5,2.5
3347103;18ws_dbs1;6,1.5,8.5,0,0,5,2.5
3358535;18ws_dbs1;5,1.5,5.5,0.5,3,3.5,0
3407404;18ws_dbs1;3.5,3,9,4.5,2,3,4
3424178;18ws_dbs1;4,2,3.5,1,1,9,2
3445008;18ws_dbs1;2.5,0,5,0,2,1.5,2
3678362;18ws_dbs1;0,1,8.5,1,2.5,3,1.5
3792719;18ws_dbs1;2.5,2.5,7,1.5,3.5,0,1.5
3825204;18ws_dbs1;4,3,8,3,1.5,9,4.5
3850850;18ws_dbs1;1.5,0,3.5,1,1.5,2.5,1.5
3854496;18ws_dbs1;3,1,6,1.5,3,6.5,4
3923073;18ws_dbs1;5,1.5,8.5,0.5,5,9,0.5
